,r1903c111_10m-3,r1903c117_50m-3,r1903c118_23m-3,r1903c119_11m-3,r1903c122_28m-3,r1903c123_10m-3,r1903c124_15m-3,r1903c126_45m-3,r1903c127_7m-3,r1903c129_26m-3,r1903c144_13m-3,rLas19c107_10m-3,rLas19c135_5m-3,rLas19c138_27m-3,ri1903c111_10m-1,ri1903c111_10m-2,ri1903c117_50m-1,ri1903c118_23m-2,ri1903c119_11m-2,ri1903c122_28m-1,ri1903c122_28m-2,ri1903c123_10m-2,ri1903c124_15m-1,ri1903c124_15m-2,ri1903c126_45m-1,ri1903c126_45m-2,ri1903c127_7m-2,ri1903c129_26m-1,ri1903c129_26m-2,ri1903c144_13m-2,riLas19c107_10m-2,riLas19c135_5m-1,riLas19c135_5m-2,riLas19c138_27m-1
TAX_159,0,0,0,69800,0,0,0,230200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66000
TAX_160,0,59200,0,0,0,0,0,52000,0,0,0,0,0,60800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_161,0,184400,0,0,0,0,91800,247400,0,0,0,0,116800,228400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63600,0,0,0,86200
TAX_162,0,350000,0,321000,0,71200,214800,366600,0,208000,59400,0,329800,348400,110200,66000,142600,67600,109800,164000,0,0,89200,82200,0,0,215200,70600,0,323000,111600,126600,260000,222600
TAX_163,0,0,0,0,0,0,0,54400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_164,0,176200,0,63200,0,0,119000,142200,0,0,0,0,176800,196400,0,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,158800,0,0,96600,79000
TAX_165,0,0,0,143000,0,0,0,97400,0,84400,0,0,60200,0,0,0,0,0,0,58800,0,0,0,0,0,0,0,0,0,76800,0,0,0,0
TAX_166,0,109800,0,0,0,0,58800,242200,0,0,0,0,0,132200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148000
TAX_167,0,58600,0,0,0,0,0,66800,0,0,0,0,0,71800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_168,0,0,0,0,0,0,0,141800,0,0,0,0,0,291600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_169,0,0,0,0,0,0,0,0,0,0,0,0,0,113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_170,0,0,0,0,0,0,0,0,0,0,0,0,0,75600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_171,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_172,0,0,0,0,0,0,0,0,0,0,0,0,666400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_173,0,0,0,0,0,0,0,0,0,0,0,0,185400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_174,0,59600,0,0,0,0,0,0,0,0,0,0,0,105600,0,0,0,0,0,0,0,0,0,0,0,0,101800,0,0,164400,0,197000,219000,0
TAX_175,0,73600,0,0,0,0,0,0,0,0,0,0,74600,86400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_176,0,343400,0,0,0,0,0,0,0,0,0,0,308400,283800,59000,0,55200,0,0,162200,0,0,0,0,0,0,229000,64000,0,0,0,111800,113000,0
TAX_177,0,0,0,0,0,0,0,0,0,0,0,0,0,57400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_178,0,79200,0,0,0,0,53400,103600,0,0,0,0,61400,112200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_179,0,241400,0,60200,0,0,109000,204800,0,0,0,0,0,223200,89800,0,0,0,0,86200,0,0,0,0,0,0,59800,0,0,0,0,0,54200,97800
TAX_180,0,124800,0,346800,0,0,0,0,0,161200,0,0,205200,0,0,0,151200,0,152200,0,0,254200,308400,326200,0,0,0,0,0,0,327200,0,0,0
TAX_181,0,0,0,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60200,57400,0,0,0,0,0,0,61400,0,0,0
TAX_182,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_183,0,0,0,0,0,0,0,0,0,0,0,0,57400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000,0,0,0,0,0,0,0
TAX_185,0,130400,0,55000,0,0,0,99000,0,0,0,0,0,138800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55400,0
TAX_186,0,591000,0,132000,0,0,0,0,0,126400,0,0,0,260200,189800,119000,69200,0,52400,344800,0,0,76800,71600,0,0,166400,0,0,55800,0,143600,168200,0
TAX_187,0,0,0,178400,0,0,0,0,0,62600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64800,0,0,0
TAX_188,0,51400,0,0,0,0,0,0,0,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_189,0,0,0,81800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_190,0,94600,0,116600,0,0,0,111200,0,53400,0,0,77800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_191,0,0,0,0,0,0,0,0,0,0,0,0,0,86800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_192,0,0,0,0,0,0,0,0,0,0,0,0,79400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_193,0,0,0,0,0,0,0,0,0,0,0,0,514600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_194,0,57600,0,61400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_195,0,474400,0,614600,0,273800,0,360800,0,539600,175600,0,325400,575200,299000,201800,276400,0,208600,236200,0,97200,333400,276400,0,0,473600,80600,0,423800,226200,310400,479400,55200
TAX_196,0,117200,0,120000,0,0,0,56000,0,113000,0,0,76200,127200,0,0,0,0,0,58800,0,0,0,0,0,0,93000,0,0,68400,0,57400,90600,0
TAX_197,0,143400,0,151200,0,56200,0,69800,0,86800,0,0,0,95800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_198,0,0,0,0,0,0,0,55400,0,0,0,0,0,91200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_199,0,363400,0,361200,0,128200,319800,395200,0,269800,56000,0,362200,374800,145000,78200,122200,95800,59400,118200,0,0,118600,95000,0,0,120800,78200,0,236800,102600,73800,158200,211000
TAX_200,0,66000,0,66000,0,0,54200,79800,0,0,0,0,63400,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_201,0,0,0,0,0,0,0,72000,0,0,0,0,0,101400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_202,0,487000,0,0,0,0,0,59800,0,0,0,0,86800,419000,192800,154800,0,0,0,501000,386800,0,0,0,0,0,305800,225600,116400,0,0,292000,198600,0
TAX_203,0,61200,0,0,0,0,0,198800,0,0,0,0,61000,220400,0,0,0,0,0,0,0,0,0,0,0,0,0,66800,0,0,0,0,0,74600
TAX_204,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_205,0,0,0,0,0,0,0,0,0,0,0,0,0,293600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_206,0,307200,0,0,0,0,80200,0,0,0,0,0,76800,253400,163600,127800,0,0,0,195200,109400,0,0,0,77400,84000,197000,164800,93000,0,0,185000,136400,0
TAX_207,0,0,0,0,0,0,0,0,0,0,0,0,0,89200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_208,0,303600,0,0,0,0,0,0,0,0,0,0,0,154400,0,0,0,0,0,284200,125000,0,0,0,0,0,80600,0,0,0,0,92400,0,0
TAX_209,0,235600,0,0,0,0,0,0,0,0,0,0,0,79400,0,0,0,0,0,56800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88000,0,0,0,0,0,0,0,0,0,0,0,0,73200,0
TAX_211,0,148800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56200,0,0,0
TAX_213,0,0,0,0,0,0,0,0,0,0,0,0,0,104000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_214,0,61400,0,0,0,0,0,66800,0,0,0,0,203400,129800,0,89200,0,0,0,0,0,0,0,0,0,0,220200,55000,0,149800,0,110800,241600,0
TAX_215,0,149400,0,0,0,53600,0,158600,0,0,0,0,86400,366200,107000,0,0,0,0,0,0,0,0,0,0,0,88000,198800,144000,60200,0,263000,99800,87000
TAX_216,0,0,0,0,0,0,0,0,0,0,0,0,0,147600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_217,0,111600,0,0,0,0,0,56000,0,0,0,0,0,121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_218,0,284800,0,0,0,0,166200,223000,0,0,0,0,0,356000,155600,116600,67400,0,0,143800,95800,0,0,0,107200,111400,57400,186800,85600,0,104600,74400,56600,182600
TAX_219,0,422000,0,0,0,0,0,106000,0,0,0,0,112200,198200,73400,0,111400,0,0,253400,58400,0,0,0,0,0,0,69000,0,0,0,0,0,65600
TAX_220,0,0,0,0,0,0,0,0,0,0,0,0,0,52400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_221,0,0,0,0,0,0,0,56400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_222,0,82200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_223,0,133400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_224,0,0,0,0,0,0,0,0,0,0,0,0,0,52200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_225,0,463200,0,328000,0,0,68400,105800,0,158800,0,0,200400,238400,471000,453600,420600,146800,387400,430200,368400,429400,452600,423800,128600,132000,386400,263400,213400,325600,476800,385400,348800,197000
TAX_226,0,157000,0,119800,0,0,0,0,0,0,0,0,59800,62000,143400,142000,136200,0,117000,137800,106200,136200,148600,133200,0,0,131800,54800,0,95000,154400,137800,125400,0
TAX_227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53600,0,77800,0,81600,0,0,65600,68800,56000,0,0,51000,0,0,72800,92200,69800,54800,0
TAX_228,0,160200,0,134400,0,0,0,0,0,0,0,0,76400,51000,0,0,75200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_229,0,0,0,103400,0,0,0,0,0,0,0,0,0,0,56200,67200,220800,0,176000,0,0,247400,224800,174000,0,0,0,0,0,0,261600,0,0,0
TAX_230,0,64800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50800,83400,0,0,84800,59000,104200
TAX_231,0,478000,0,0,0,0,0,0,0,0,0,0,0,64000,248000,246800,68400,0,51800,259800,335400,77000,80000,57600,0,0,351600,164400,243000,230400,78200,535200,442600,50400
TAX_232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97000,0,0,0,0,0
TAX_233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58400,0,0,0,0,0,0,0,0,0,0,0
TAX_234,0,69600,0,0,0,0,0,0,0,0,0,0,0,0,104200,119400,58200,0,0,0,61000,51400,0,0,0,0,0,0,0,0,0,61000,0,0
TAX_235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000
TAX_236,0,0,0,239600,0,0,0,0,0,0,0,0,0,0,0,0,126800,0,0,0,0,150800,146800,127200,0,0,0,0,0,0,178400,0,0,0
TAX_237,0,0,0,53800,0,0,0,74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82800
TAX_238,0,73400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_239,0,109000,0,0,0,0,0,0,0,0,0,0,0,78400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_240,0,347400,0,60800,0,0,128200,0,0,0,0,0,50800,172000,0,0,0,0,0,112600,0,0,0,0,0,0,52000,0,0,61400,0,0,0,0
TAX_241,0,208200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000
TAX_242,0,0,0,78800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_243,0,150600,0,0,0,0,0,0,0,0,0,0,0,0,118800,0,0,0,0,0,0,0,0,0,0,0,111600,0,0,53600,0,0,126400,0
TAX_244,0,57600,0,0,0,0,0,0,0,0,0,0,0,0,0,70600,0,0,0,57000,0,0,0,0,0,0,0,0,0,0,0,110600,0,0
TAX_245,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_246,0,84200,0,0,0,0,55600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146600
TAX_247,0,206400,0,118400,0,0,0,0,0,0,0,0,0,0,72200,0,86200,0,68000,114400,0,83200,160200,147600,0,0,0,0,0,0,71800,0,0,0
TAX_248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54400
TAX_249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52400
TAX_250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59400
TAX_251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73800
TAX_252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82200
TAX_253,0,108800,0,0,0,0,0,426400,0,159800,0,0,0,52800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170200
TAX_254,0,80400,0,0,0,0,108600,0,0,0,0,0,0,0,77600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194200
TAX_256,0,0,0,0,0,0,0,122200,0,0,0,0,200400,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61800
TAX_257,111000,72800,0,72000,0,0,0,191600,70200,71600,0,0,101400,64800,0,0,0,0,0,0,56000,0,0,0,0,0,0,0,0,0,0,0,0,57800
TAX_258,0,572200,0,0,0,0,164800,499200,0,387000,0,0,603400,601600,0,233600,0,0,0,279800,433000,0,0,0,0,320000,0,0,0,0,95200,0,0,0
TAX_259,0,55800,0,0,0,0,0,76800,0,104800,0,0,485800,104800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52400
TAX_261,0,0,0,0,0,0,0,108200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117600
TAX_263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78200,101000,83000,0,0,0,0,0,0,0,0,0,0
TAX_264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71800,0,0,0,0
TAX_265,0,92600,0,0,0,0,0,146400,0,58800,0,0,58400,143000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86200
TAX_266,0,179000,0,158600,71200,71600,0,135800,0,180000,0,0,150600,176800,119400,104400,0,0,0,121600,138200,0,0,0,70000,78000,0,115000,124600,0,54000,0,0,165600
TAX_267,0,0,0,0,0,0,0,50200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_268,0,448600,76000,456200,324800,273800,91400,603600,0,587200,154400,116200,231200,469600,377600,362800,149600,0,0,378800,334200,0,0,0,207600,212000,75400,291600,315600,0,219400,214200,80800,414400
TAX_269,0,0,0,0,0,0,0,58200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_270,0,0,0,304200,74600,78600,0,0,0,0,0,0,0,0,245000,0,0,0,0,0,0,0,0,0,309400,0,0,414800,471600,0,0,52200,0,535000
TAX_271,0,78400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_272,0,183200,0,134400,194800,0,0,206400,0,162600,51600,0,168400,196200,85400,82800,0,0,0,112000,129800,0,0,0,77000,79800,0,101000,115000,0,0,0,0,175600
TAX_273,0,50000,0,0,0,0,0,56600,0,53200,0,0,55000,55600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_274,0,0,0,0,0,0,0,324200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
TAX_275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50600
TAX_276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59800
TAX_277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148200
TAX_278,0,0,0,89200,0,0,0,0,0,0,0,0,0,0,116600,0,0,0,0,0,0,63200,83600,56600,0,0,0,0,0,0,0,0,0,0
TAX_279,0,66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261800
TAX_280,0,0,0,0,0,0,76600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91200
TAX_281,0,55200,0,0,0,0,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62400
TAX_282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141200
TAX_283,0,404800,0,0,0,0,430600,0,0,0,0,0,0,59400,149200,81600,0,0,0,197600,0,0,0,0,88800,90800,51400,167200,54200,57000,0,0,0,338600
TAX_284,0,0,0,0,0,0,55400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_285,0,82800,0,0,0,0,84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72800
TAX_286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53400
TAX_287,0,0,0,0,0,0,0,0,0,0,0,0,0,59400,0,0,0,0,0,0,0,0,0,0,0,0,0,61600,185800,0,0,0,0,0
TAX_288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70400
TAX_289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76200
TAX_290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148800
TAX_291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53400
TAX_292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52600
TAX_293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000
TAX_294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000
TAX_295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61200
TAX_296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62800
TAX_297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66000
TAX_298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50800
TAX_299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
TAX_300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56400
TAX_301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53400
TAX_302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59000
TAX_303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60600
TAX_304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52200
TAX_305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71400
TAX_306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69400
TAX_307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104800
TAX_308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64600
TAX_309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72400
TAX_310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000
TAX_311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000
TAX_312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84000,0,0,0,0,304800
TAX_313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203000
TAX_314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136600
TAX_315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0,0,0
TAX_316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80400
TAX_317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150200
TAX_318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61800
TAX_319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50600
TAX_320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92200
TAX_321,0,0,0,0,0,0,0,105000,0,0,0,0,0,69600,0,0,0,0,0,0,0,0,0,0,0,0,0,59800,157600,131600,0,118600,91600,185200
TAX_322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57400
TAX_323,0,0,0,0,0,0,0,61000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_324,0,0,0,0,0,0,0,183600,0,0,0,0,0,91600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
